factor_id,family,factor_type,display_name,source_formula,implemented_formula,required_fields,data_frequency,pit_timestamp_field,lookback,default_orientation,orientation_method,neutralization,coverage,cross_sectional_unique_count,test_status,unavailable_reason,notes
money_flow,price_volume,atomic,5-day amount change,amount/amount_lag5 - 1,amount/amount.shift(5) - 1,S_DQ_AMOUNT,daily,TRADE_DT,5,1.0,economic,industry+log_market_cap,0.9996270997421064,978.0,FAIL_MULTIPLE,,No alternate window
pe_ttm,fundamental,atomic,PE TTM,market_cap/net_profit_ttm,S_VAL_PE_TTM,ASHAREEODDERIVATIVEINDICATOR.S_VAL_PE_TTM,daily,TRADE_DT,1,-1.0,economic,industry+log_market_cap,0.854300550637764,829.0,FAIL_RETURN,,TRADE_DT economic date; final-vendor-snapshot limitation disclosed; smoke-test factor
pb,fundamental,atomic,Price to book,market_cap/book_value,S_VAL_PB_NEW,ASHAREEODDERIVATIVEINDICATOR.S_VAL_PB_NEW,daily,TRADE_DT,1,-1.0,economic,industry+log_market_cap,0.9994110266954764,968.0,FAIL_MULTIPLE,,TRADE_DT economic date; final-vendor-snapshot limitation disclosed
roe_ttm,fundamental,atomic,ROE TTM,net_profit_ttm/average_equity,S_FA_ROE_TTM as-of ANN_DT,ASHARETTMHIS.ANN_DT|S_FA_ROE_TTM,quarterly_to_daily,ANN_DT,latest_announced,1.0,economic,industry+log_market_cap,1.0,976.0,FAIL_MULTIPLE,,REPORT_PERIOD is never used as availability date; earliest duplicate retained
market_cap,fundamental,atomic,Total market capitalization,market_cap,S_VAL_MV,ASHAREEODDERIVATIVEINDICATOR.S_VAL_MV,daily,TRADE_DT,1,-1.0,economic,none,1.0,978.0,FAIL_MULTIPLE,,Tested as size exposure; no market-cap neutralization; final-vendor-snapshot limitation disclosed
revenue_growth_yoy,fundamental,atomic,Revenue growth YoY,current_revenue/prior_same_period_revenue - 1,current announced TTM revenue / prior-year same-report-period announced TTM revenue - 1,ASHARETTMHIS.ANN_DT|REPORT_PERIOD|TOT_OPER_REV_TTM,quarterly_to_daily,ANN_DT,prior_year_same_period,1.0,economic,industry+log_market_cap,0.9998849933784066,978.0,FAIL_MULTIPLE,,PIT matching by report period; availability remains ANN_DT; earliest duplicate retained
profit_growth_yoy,fundamental,atomic,Profit growth YoY,current_parent_profit/prior_same_period_parent_profit - 1,current announced parent-profit TTM / prior-year same-report-period announced parent-profit TTM - 1,ASHARETTMHIS.ANN_DT|REPORT_PERIOD|NET_PROFIT_PARENT_COMP_TTM,quarterly_to_daily,ANN_DT,prior_year_same_period,1.0,economic,industry+log_market_cap,0.9964748727957065,974.0,FAIL_MULTIPLE,,PIT matching by report period; availability remains ANN_DT; earliest duplicate retained
debt_ratio,fundamental,atomic,Debt ratio,total_liabilities/total_assets,S_FA_DEBTTOASSETS_MRQ as-of ANN_DT,ASHARETTMHIS.ANN_DT|S_FA_DEBTTOASSETS_MRQ,quarterly_to_daily,ANN_DT,latest_announced,-1.0,economic,industry+log_market_cap,1.0,977.0,FAIL_MULTIPLE,,As-reported scale retained; earliest duplicate retained
news_sentiment,sentiment,atomic,News sentiment,external score in [-1;1],continuous PIT news sentiment score,continuous_news_sentiment|published_at,daily,published_at,1,1.0,economic,industry+log_market_cap,,,DATA_UNAVAILABLE,No verified continuous PIT company mapping,Unknown is never filled with zero
lhb_flag,sentiment,atomic,Dragon-tiger board flag,1 if listed else 0,event flag available after publication,lhb_symbol|event_date|available_at,event,available_at,1,,calibration_30pct,industry+log_market_cap,,,DATA_UNAVAILABLE,No verified company table mapping,Will remain untestable even if fewer than 10 unique values
block_trade_premium,sentiment,atomic,Block-trade premium,block_trade_price/close - 1,volume-weighted event premium available only after event publication,block_trade_price|reference_close|event_time|available_at,event,available_at,1,1.0,economic,industry+log_market_cap,,,DATA_UNAVAILABLE,No verified company table mapping,No-event and unknown are distinct
gdp_yoy,macro,atomic,GDP YoY,as reported,as reported and release-date as-of,gdp_yoy|release_date,quarterly,release_date,latest_release,,not_applicable,none,,,NOT_TESTABLE_CROSS_SECTIONALLY,Same value for every stock on a date,Conditioning variable only
cpi_yoy,macro,atomic,CPI YoY,as reported,as reported and release-date as-of,cpi_yoy|release_date,monthly,release_date,latest_release,,not_applicable,none,,,NOT_TESTABLE_CROSS_SECTIONALLY,Same value for every stock on a date,Conditioning variable only
pmi,macro,atomic,Manufacturing PMI,as reported,as reported and release-date as-of,pmi|release_date,monthly,release_date,latest_release,,not_applicable,none,,,NOT_TESTABLE_CROSS_SECTIONALLY,Same value for every stock on a date,Conditioning variable only
m2_yoy,macro,atomic,M2 YoY,as reported,as reported and release-date as-of,m2_yoy|release_date,monthly,release_date,latest_release,,not_applicable,none,,,NOT_TESTABLE_CROSS_SECTIONALLY,Same value for every stock on a date,Conditioning variable only
degree_centrality,relation,atomic,Weighted degree centrality,weighted adjacency row sum normalized by maximum row sum,same formula on a fully PIT graph,dated_edges|effective_from|effective_to,graph_refresh,effective_from,60,,calibration_30pct,industry+log_market_cap,0.9835401129155921,968.0,FAIL_MULTIPLE,,Graph must be dynamic and nonempty; partial unverified graph is not accepted
pagerank,relation,atomic,PageRank,PageRank on weighted adjacency with damping 0.85,PageRank alpha=0.85 on a fully PIT graph,dated_edges|effective_from|effective_to,graph_refresh,effective_from,60,,calibration_30pct,industry+log_market_cap,0.9835401129155921,968.0,FAIL_MULTIPLE,,Daily graph diagnostics required
dtw_similarity_mean,relation,atomic,Mean DTW similarity,mean DTW similarity to Top-20 nearest peers,mean exact source DTW similarity over Top-20 historical-return neighbors,S_DQ_CLOSE|S_DQ_PRECLOSE,graph_refresh,TRADE_DT,60,,calibration_30pct,industry+log_market_cap,0.9835401129155921,968.0,FAIL_MULTIPLE,,Upstream executable pipeline currently emits constant zero; this project requires real values
industry_excess_ret,relation,atomic,Industry excess return,mean same-industry stock excess return,mean CSI1000 excess return within PIT CITICS L1 industry,S_DQ_CLOSE|S_DQ_PRECLOSE|CITICS_IND_CODE|ENTRY_DT|REMOVE_DT,daily,TRADE_DT,1,1.0,economic,log_market_cap,1.0,30.0,FAIL_MULTIPLE,,Retains industry exposure by design; no industry neutralization
price_volume_equal_weight,price_volume,composite,Price-volume equal-weight composite,equal mean of oriented preprocessed available family members,equal mean of all frozen testable price-volume members after orientation/winsorization/neutralization/zscore,registry_price_volume_members,daily,component_timestamps,frozen_members,1.0,composite,component_defined,0.9996270997421064,978.0,FAIL_MULTIPLE,,Requires at least two available atomic members
fundamental_equal_weight,fundamental,composite,Fundamental equal-weight composite,equal mean of oriented preprocessed available family members,equal mean of all frozen testable fundamental members after orientation/winsorization/neutralization/zscore,registry_fundamental_members,daily,component_timestamps,frozen_members,1.0,composite,component_defined,0.8540165191329198,829.0,PASS,,Members are frozen before evaluation
sentiment_equal_weight,sentiment,composite,Sentiment equal-weight composite,equal mean of oriented preprocessed available family members,equal mean of all frozen testable sentiment members after orientation/winsorization/neutralization/zscore,registry_sentiment_members,daily,component_timestamps,frozen_members,1.0,composite,component_defined,,,UNTESTABLE,Only 0 usable frozen atomic members; requires 2,UNTESTABLE if fewer than two atomic members
relation_equal_weight,relation,composite,Relation equal-weight composite,equal mean of oriented preprocessed available family members,equal mean of all frozen testable relation members after orientation/winsorization/neutralization/zscore,registry_relation_members,daily,component_timestamps,frozen_members,1.0,composite,component_defined,0.9835401129155921,968.0,FAIL_MULTIPLE,,UNTESTABLE if fewer than two atomic members
